Rented Bike Count,Temperature,Humidity,Wind speed,Visibility,Solar Radiation,Rented Bike B,Date,Hour,Seasons,Functioning Day,Holiday
563,7.6,76.0,1.2,422,0.69,1.0,2.0,14.0,3.0,1.0,1.0
621,8.0,73.0,1.6,433,0.53,1.0,2.0,15.0,3.0,1.0,1.0
598,7.6,77.0,1.6,399,0.2,1.0,2.0,16.0,3.0,1.0,1.0
545,6.7,82.0,1.5,358,0.05,1.0,2.0,17.0,3.0,1.0,1.0
443,6.0,84.0,1.9,327,0.0,0.0,2.0,18.0,3.0,1.0,1.0
422,5.7,85.0,1.7,309,0.0,0.0,2.0,19.0,3.0,1.0,1.0
397,5.2,87.0,1.4,253,0.0,0.0,2.0,20.0,3.0,1.0,1.0
385,4.7,87.0,1.2,247,0.0,0.0,2.0,21.0,3.0,1.0,1.0
350,4.3,89.0,1.8,201,0.0,0.0,2.0,22.0,3.0,1.0,1.0
303,3.9,90.0,1.3,194,0.0,0.0,2.0,23.0,3.0,1.0,1.0
285,4.2,88.0,0.6,216,0.0,0.0,3.0,0.0,3.0,1.0,1.0
186,4.3,87.0,0.5,221,0.0,0.0,3.0,1.0,3.0,1.0,1.0
112,4.4,87.0,1.8,207,0.0,0.0,3.0,2.0,3.0,1.0,1.0
65,3.6,85.0,2.3,206,0.0,0.0,3.0,3.0,3.0,1.0,1.0
41,2.8,89.0,1.5,130,0.0,0.0,3.0,4.0,3.0,1.0,1.0
82,2.0,83.0,2.7,253,0.0,0.0,3.0,5.0,3.0,1.0,1.0
200,1.2,76.0,3.7,371,0.0,0.0,3.0,6.0,3.0,1.0,1.0
498,0.2,68.0,3.4,702,0.0,0.0,3.0,7.0,3.0,1.0,1.0
937,-0.8,69.0,3.5,954,0.01,1.0,3.0,8.0,3.0,1.0,1.0
509,-1.5,47.0,4.2,1888,0.22,1.0,3.0,9.0,3.0,1.0,1.0
311,-1.1,40.0,4.5,2000,0.64,0.0,3.0,10.0,3.0,1.0,1.0
379,-0.5,41.0,4.1,1799,0.94,0.0,3.0,11.0,3.0,1.0,1.0
393,-0.3,38.0,4.8,1823,1.11,0.0,3.0,12.0,3.0,1.0,1.0
391,0.0,30.0,5.4,1938,1.17,0.0,3.0,13.0,3.0,1.0,1.0
338,0.1,27.0,4.5,2000,1.09,0.0,3.0,14.0,3.0,1.0,1.0
341,-0.1,25.0,5.8,2000,0.88,0.0,3.0,15.0,3.0,1.0,1.0
375,-0.2,23.0,4.7,2000,0.55,0.0,3.0,16.0,3.0,1.0,1.0
515,-1.3,26.0,5.3,2000,0.18,1.0,3.0,17.0,3.0,1.0,1.0
807,-2.1,29.0,3.9,2000,0.0,1.0,3.0,18.0,3.0,1.0,1.0
568,-2.9,32.0,3.2,2000,0.0,1.0,3.0,19.0,3.0,1.0,1.0
398,-3.6,38.0,3.0,2000,0.0,0.0,3.0,20.0,3.0,1.0,1.0
397,-4.6,43.0,4.5,2000,0.0,0.0,3.0,21.0,3.0,1.0,1.0
353,-5.3,45.0,2.5,2000,0.0,0.0,3.0,22.0,3.0,1.0,1.0
248,-5.8,44.0,2.4,2000,0.0,0.0,3.0,23.0,3.0,1.0,1.0
216,-6.1,42.0,2.6,2000,0.0,0.0,4.0,0.0,3.0,1.0,1.0
198,-6.5,41.0,2.8,2000,0.0,0.0,4.0,1.0,3.0,1.0,1.0
124,-6.8,41.0,2.5,2000,0.0,0.0,4.0,2.0,3.0,1.0,1.0
62,-6.9,39.0,2.0,2000,0.0,0.0,4.0,3.0,3.0,1.0,1.0
42,-7.2,34.0,3.0,2000,0.0,0.0,4.0,4.0,3.0,1.0,1.0
82,-7.4,33.0,2.6,2000,0.0,0.0,4.0,5.0,3.0,1.0,1.0
172,-7.4,34.0,3.2,2000,0.0,0.0,4.0,6.0,3.0,1.0,1.0
381,-7.5,33.0,2.2,2000,0.0,0.0,4.0,7.0,3.0,1.0,1.0
812,-8.1,36.0,1.6,2000,0.01,1.0,4.0,8.0,3.0,1.0,1.0
462,-7.6,31.0,1.3,1974,0.21,0.0,4.0,9.0,3.0,1.0,1.0
269,-5.5,26.0,2.8,1967,0.64,0.0,4.0,10.0,3.0,1.0,1.0
334,-3.9,25.0,0.0,1959,0.0,0.0,4.0,11.0,3.0,1.0,1.0
321,-2.3,25.0,0.0,1962,0.0,0.0,4.0,12.0,3.0,1.0,1.0
325,-1.6,27.0,0.0,1955,0.0,0.0,4.0,13.0,3.0,1.0,1.0
334,-1.1,28.0,0.0,2000,0.0,0.0,4.0,14.0,3.0,1.0,1.0
353,-0.7,28.0,0.0,2000,0.0,0.0,4.0,15.0,3.0,1.0,1.0
435,-0.5,30.0,0.0,2000,0.0,0.0,4.0,16.0,3.0,1.0,1.0
529,-1.6,35.0,0.0,2000,0.0,1.0,4.0,17.0,3.0,1.0,1.0
789,-2.6,40.0,0.0,2000,0.0,1.0,4.0,18.0,3.0,1.0,1.0
597,-3.2,45.0,0.0,2000,0.0,1.0,4.0,19.0,3.0,1.0,1.0
418,-3.5,46.0,0.0,2000,0.0,0.0,4.0,20.0,3.0,1.0,1.0
415,-3.7,47.0,0.0,2000,0.0,0.0,4.0,21.0,3.0,1.0,1.0
393,-2.8,49.0,0.0,2000,0.0,0.0,4.0,22.0,3.0,1.0,1.0
244,-2.5,59.0,0.0,1210,0.0,0.0,4.0,23.0,3.0,1.0,1.0
145,-2.8,77.0,0.0,331,0.0,0.0,5.0,0.0,3.0,1.0,1.0
144,-3.0,79.0,0.0,293,0.0,0.0,5.0,1.0,3.0,1.0,1.0
117,-3.0,79.0,0.0,1862,0.0,0.0,5.0,2.0,3.0,1.0,1.0
78,-3.2,78.0,0.0,1808,0.0,0.0,5.0,3.0,3.0,1.0,1.0
58,-3.4,75.0,0.0,1982,0.0,0.0,5.0,4.0,3.0,1.0,1.0
87,-3.6,76.0,0.0,1934,0.0,0.0,5.0,5.0,3.0,1.0,1.0
142,-3.7,76.0,0.0,1864,0.0,0.0,5.0,6.0,3.0,1.0,1.0
379,-4.2,77.0,0.0,1741,0.0,0.0,5.0,7.0,3.0,1.0,1.0
802,-4.2,78.0,0.0,1518,0.01,1.0,5.0,8.0,3.0,1.0,1.0
440,-3.3,70.0,0.0,1324,0.25,0.0,5.0,9.0,3.0,1.0,1.0
307,-0.9,64.0,0.0,1224,0.63,0.0,5.0,10.0,3.0,1.0,1.0
381,1.6,57.0,1.2,1261,0.93,0.0,5.0,11.0,3.0,1.0,1.0
405,2.4,52.0,0.9,1224,1.08,0.0,5.0,12.0,3.0,1.0,1.0
442,4.2,47.0,1.1,1469,1.1,0.0,5.0,13.0,3.0,1.0,1.0
416,5.5,34.0,1.0,1966,0.96,0.0,5.0,14.0,3.0,1.0,1.0
412,5.5,31.0,3.1,1968,0.72,0.0,5.0,15.0,3.0,1.0,1.0
496,5.3,37.0,2.9,2000,0.36,0.0,5.0,16.0,3.0,1.0,1.0
239,4.1,60.0,2.5,1565,0.1,0.0,5.0,17.0,3.0,1.0,1.0
204,1.7,90.0,1.0,66,0.0,0.0,5.0,18.0,3.0,1.0,1.0
205,1.2,92.0,0.7,180,0.0,0.0,5.0,19.0,3.0,1.0,1.0
190,1.2,94.0,0.6,228,0.0,0.0,5.0,20.0,3.0,1.0,1.0
165,1.1,92.0,0.5,235,0.0,0.0,5.0,21.0,3.0,1.0,1.0
222,1.3,92.0,0.6,233,0.0,0.0,5.0,22.0,3.0,1.0,1.0
193,1.3,92.0,0.6,209,0.0,0.0,5.0,23.0,3.0,1.0,1.0
198,1.4,92.0,0.5,240,0.0,0.0,6.0,0.0,3.0,1.0,1.0
218,1.5,92.0,0.4,227,0.0,0.0,6.0,1.0,3.0,1.0,1.0
149,1.4,92.0,0.7,168,0.0,0.0,6.0,2.0,3.0,1.0,1.0
102,1.9,91.0,1.4,218,0.0,0.0,6.0,3.0,3.0,1.0,1.0
62,1.6,92.0,0.7,119,0.0,0.0,6.0,4.0,3.0,1.0,1.0
83,1.5,92.0,1.1,175,0.0,0.0,6.0,5.0,3.0,1.0,1.0
137,1.0,93.0,0.5,148,0.0,0.0,6.0,6.0,3.0,1.0,1.0
367,0.3,93.0,0.5,173,0.0,0.0,6.0,7.0,3.0,1.0,1.0
754,-0.2,96.0,0.8,173,0.01,1.0,6.0,8.0,3.0,1.0,1.0
415,0.1,91.0,0.8,265,0.14,0.0,6.0,9.0,3.0,1.0,1.0
321,1.1,83.0,0.7,311,0.41,0.0,6.0,10.0,3.0,1.0,1.0
333,2.3,69.0,1.7,628,0.63,0.0,6.0,11.0,3.0,1.0,1.0
431,3.7,65.0,2.4,833,0.98,0.0,6.0,12.0,3.0,1.0,1.0
394,4.1,37.0,3.1,1767,1.14,0.0,6.0,13.0,3.0,1.0,1.0
390,4.4,36.0,2.7,1975,1.04,0.0,6.0,14.0,3.0,1.0,1.0
430,4.0,35.0,3.1,1962,0.84,0.0,6.0,15.0,3.0,1.0,1.0
471,3.2,38.0,2.9,1817,0.51,0.0,6.0,16.0,3.0,1.0,1.0
552,2.1,50.0,2.0,1434,0.15,1.0,6.0,17.0,3.0,1.0,1.0
795,0.7,46.0,2.7,1558,0.0,1.0,6.0,18.0,3.0,1.0,1.0
507,-0.4,47.0,2.5,1269,0.0,1.0,6.0,19.0,3.0,1.0,1.0
390,-1.4,47.0,2.5,1620,0.0,0.0,6.0,20.0,3.0,1.0,1.0
402,-2.2,46.0,2.2,1975,0.0,0.0,6.0,21.0,3.0,1.0,1.0
389,-2.7,48.0,2.6,1844,0.0,0.0,6.0,22.0,3.0,1.0,1.0
259,-3.2,50.0,2.1,1887,0.0,0.0,6.0,23.0,3.0,1.0,1.0
233,-3.5,49.0,2.6,1893,0.0,0.0,7.0,0.0,3.0,1.0,1.0
230,-3.7,50.0,2.5,1902,0.0,0.0,7.0,1.0,3.0,1.0,1.0
131,-4.3,53.0,1.0,1918,0.0,0.0,7.0,2.0,3.0,1.0,1.0
99,-4.8,52.0,1.6,1978,0.0,0.0,7.0,3.0,3.0,1.0,1.0
71,-5.3,53.0,2.4,1936,0.0,0.0,7.0,4.0,3.0,1.0,1.0
84,-5.8,56.0,2.0,1941,0.0,0.0,7.0,5.0,3.0,1.0,1.0
158,-6.0,56.0,3.5,1853,0.0,0.0,7.0,6.0,3.0,1.0,1.0
387,-6.5,57.0,0.8,1776,0.0,0.0,7.0,7.0,3.0,1.0,1.0
780,-7.0,59.0,0.8,1559,0.01,1.0,7.0,8.0,3.0,1.0,1.0
395,-6.7,50.0,0.9,1492,0.23,0.0,7.0,9.0,3.0,1.0,1.0
261,-5.3,44.0,2.8,1516,0.63,0.0,7.0,10.0,3.0,1.0,1.0
310,-3.7,39.0,1.4,1595,0.93,0.0,7.0,11.0,3.0,1.0,1.0
355,-2.0,30.0,1.4,1728,1.14,0.0,7.0,12.0,3.0,1.0,1.0
354,-1.7,28.0,1.8,1963,1.22,0.0,7.0,13.0,3.0,1.0,1.0
350,-1.3,27.0,3.1,1906,1.12,0.0,7.0,14.0,3.0,1.0,1.0
362,-0.8,26.0,3.3,1977,0.87,0.0,7.0,15.0,3.0,1.0,1.0
401,-1.1,24.0,3.4,2000,0.56,0.0,7.0,16.0,3.0,1.0,1.0
500,-2.4,30.0,2.7,2000,0.18,0.0,7.0,17.0,3.0,1.0,1.0
752,-3.1,33.0,1.2,2000,0.0,1.0,7.0,18.0,3.0,1.0,1.0
477,-3.3,35.0,1.1,2000,0.0,0.0,7.0,19.0,3.0,1.0,1.0
384,-3.3,34.0,1.5,2000,0.0,0.0,7.0,20.0,3.0,1.0,1.0
336,-3.3,35.0,0.5,2000,0.0,0.0,7.0,21.0,3.0,1.0,1.0
347,-3.4,39.0,1.2,2000,0.0,0.0,7.0,22.0,3.0,1.0,1.0
275,-3.5,43.0,0.9,2000,0.0,0.0,7.0,23.0,3.0,1.0,1.0
267,-3.5,48.0,0.9,1967,0.0,0.0,8.0,0.0,3.0,1.0,1.0
296,-4.1,49.0,0.6,2000,0.0,0.0,8.0,1.0,3.0,1.0,1.0
237,-4.7,50.0,0.7,1983,0.0,0.0,8.0,2.0,3.0,1.0,1.0
169,-4.3,47.0,0.6,1992,0.0,0.0,8.0,3.0,3.0,1.0,1.0
96,-4.3,49.0,0.7,2000,0.0,0.0,8.0,4.0,3.0,1.0,1.0
56,-4.7,49.0,0.8,1999,0.0,0.0,8.0,5.0,3.0,1.0,1.0
76,-5.1,53.0,0.9,1975,0.0,0.0,8.0,6.0,3.0,1.0,1.0
127,-5.5,56.0,0.8,1950,0.0,0.0,8.0,7.0,3.0,1.0,1.0
222,-5.4,56.0,0.7,1940,0.01,0.0,8.0,8.0,3.0,1.0,1.0
291,-4.7,48.0,1.0,1784,0.23,0.0,8.0,9.0,3.0,1.0,1.0
273,-2.2,42.0,1.3,1646,0.61,0.0,8.0,10.0,3.0,1.0,1.0
351,0.0,45.0,1.1,1500,0.89,0.0,8.0,11.0,3.0,1.0,1.0
427,2.4,40.0,0.8,1809,1.05,0.0,8.0,12.0,3.0,1.0,1.0
431,3.9,36.0,2.0,1702,1.13,0.0,8.0,13.0,3.0,1.0,1.0
486,4.7,32.0,2.2,1948,1.06,0.0,8.0,14.0,3.0,1.0,1.0
569,5.2,30.0,2.0,1963,0.84,1.0,8.0,15.0,3.0,1.0,1.0
546,4.4,33.0,1.6,1963,0.4,1.0,8.0,16.0,3.0,1.0,1.0
481,3.5,37.0,1.8,1963,0.1,0.0,8.0,17.0,3.0,1.0,1.0
384,2.5,41.0,1.0,1974,0.0,0.0,8.0,18.0,3.0,1.0,1.0
275,1.5,48.0,0.4,1878,0.0,0.0,8.0,19.0,3.0,1.0,1.0
298,0.8,51.0,1.4,1848,0.0,0.0,8.0,20.0,3.0,1.0,1.0
321,-0.1,55.0,0.7,1654,0.0,0.0,8.0,21.0,3.0,1.0,1.0
289,-0.5,55.0,0.6,1655,0.0,0.0,8.0,22.0,3.0,1.0,1.0
265,-0.1,54.0,1.3,1570,0.0,0.0,8.0,23.0,3.0,1.0,1.0
326,-0.2,55.0,1.0,1629,0.0,0.0,9.0,0.0,3.0,1.0,1.0
280,-0.2,54.0,0.5,1747,0.0,0.0,9.0,1.0,3.0,1.0,1.0
243,0.2,52.0,0.7,1726,0.0,0.0,9.0,2.0,3.0,1.0,1.0
169,0.3,53.0,0.5,1748,0.0,0.0,9.0,3.0,3.0,1.0,1.0
71,0.4,52.0,1.6,1816,0.0,0.0,9.0,4.0,3.0,1.0,1.0
13,0.3,74.0,1.0,178,0.0,0.0,9.0,5.0,3.0,1.0,1.0
9,-0.5,90.0,0.9,91,0.0,0.0,9.0,6.0,3.0,1.0,1.0
20,-0.4,92.0,1.1,121,0.0,0.0,9.0,7.0,3.0,1.0,1.0
35,-0.2,90.0,1.2,378,0.0,0.0,9.0,8.0,3.0,1.0,1.0
31,0.2,90.0,1.0,305,0.0,0.0,9.0,9.0,3.0,1.0,1.0
19,0.5,91.0,0.4,143,0.0,0.0,9.0,10.0,3.0,1.0,1.0
58,0.9,92.0,0.9,137,0.03,0.0,9.0,11.0,3.0,1.0,1.0
119,2.3,88.0,0.3,245,0.28,0.0,9.0,12.0,3.0,1.0,1.0
182,3.3,87.0,1.1,230,0.54,0.0,9.0,13.0,3.0,1.0,1.0
235,4.2,85.0,0.7,325,0.65,0.0,9.0,14.0,3.0,1.0,1.0
180,6.7,63.0,4.5,715,0.35,0.0,9.0,15.0,3.0,1.0,1.0
214,5.4,71.0,3.5,622,0.2,0.0,9.0,16.0,3.0,1.0,1.0
226,3.6,65.0,4.3,1061,0.03,0.0,9.0,17.0,3.0,1.0,1.0
210,2.0,61.0,3.0,2000,0.0,0.0,9.0,18.0,3.0,1.0,1.0
181,1.6,53.0,4.0,2000,0.0,0.0,9.0,19.0,3.0,1.0,1.0
165,0.6,57.0,3.9,1954,0.0,0.0,9.0,20.0,3.0,1.0,1.0
167,0.0,59.0,3.0,1862,0.0,0.0,9.0,21.0,3.0,1.0,1.0
152,-1.0,56.0,4.7,2000,0.0,0.0,9.0,22.0,3.0,1.0,1.0
148,-1.4,43.0,4.3,2000,0.0,0.0,9.0,23.0,3.0,1.0,1.0
125,-2.5,39.0,3.4,2000,0.0,0.0,10.0,0.0,3.0,1.0,1.0
111,-3.4,36.0,3.8,2000,0.0,0.0,10.0,1.0,3.0,1.0,1.0
67,-4.2,35.0,3.4,2000,0.0,0.0,10.0,2.0,3.0,1.0,1.0
45,-4.7,38.0,2.4,2000,0.0,0.0,10.0,3.0,3.0,1.0,1.0
44,-5.2,35.0,3.2,2000,0.0,0.0,10.0,4.0,3.0,1.0,1.0
86,-5.6,38.0,3.2,1974,0.0,0.0,10.0,5.0,3.0,1.0,1.0
136,-5.9,39.0,2.9,1979,0.0,0.0,10.0,6.0,3.0,1.0,1.0
325,-6.0,39.0,3.1,1996,0.0,0.0,10.0,7.0,3.0,1.0,1.0
653,-6.0,38.0,3.6,1994,0.01,1.0,10.0,8.0,3.0,1.0,1.0
326,-5.9,36.0,5.1,1941,0.1,0.0,10.0,9.0,3.0,1.0,1.0
212,-5.3,32.0,4.5,2000,0.62,0.0,10.0,10.0,3.0,1.0,1.0
226,-4.7,36.0,3.8,2000,1.0,0.0,10.0,11.0,3.0,1.0,1.0
247,-5.2,33.0,4.6,1973,1.26,0.0,10.0,12.0,3.0,1.0,1.0
241,-5.4,32.0,5.1,1986,1.24,0.0,10.0,13.0,3.0,1.0,1.0
253,-5.4,31.0,4.1,1945,1.13,0.0,10.0,14.0,3.0,1.0,1.0
269,-5.5,33.0,4.5,2000,0.92,0.0,10.0,15.0,3.0,1.0,1.0
277,-6.0,40.0,4.0,2000,0.55,0.0,10.0,16.0,3.0,1.0,1.0
361,-7.1,44.0,4.2,2000,0.18,0.0,10.0,17.0,3.0,1.0,1.0
557,-7.9,43.0,3.3,2000,0.0,1.0,10.0,18.0,3.0,1.0,1.0
371,-8.6,45.0,3.9,2000,0.0,0.0,10.0,19.0,3.0,1.0,1.0
254,-9.3,49.0,3.8,2000,0.0,0.0,10.0,20.0,3.0,1.0,1.0
266,-9.7,51.0,2.5,2000,0.0,0.0,10.0,21.0,3.0,1.0,1.0
222,-10.2,50.0,3.0,2000,0.0,0.0,10.0,22.0,3.0,1.0,1.0
174,-10.7,53.0,1.2,2000,0.0,0.0,10.0,23.0,3.0,1.0,1.0
133,-11.0,51.0,1.1,2000,0.0,0.0,11.0,0.0,3.0,1.0,1.0
127,-11.2,51.0,1.1,2000,0.0,0.0,11.0,1.0,3.0,1.0,1.0
95,-11.5,50.0,0.7,2000,0.0,0.0,11.0,2.0,3.0,1.0,1.0
54,-11.6,50.0,2.2,1995,0.0,0.0,11.0,3.0,3.0,1.0,1.0
46,-11.6,47.0,2.1,1982,0.0,0.0,11.0,4.0,3.0,1.0,1.0
65,-11.6,45.0,2.8,1951,0.0,0.0,11.0,5.0,3.0,1.0,1.0
104,-11.8,47.0,2.5,1973,0.0,0.0,11.0,6.0,3.0,1.0,1.0
280,-12.1,50.0,2.3,1929,0.0,0.0,11.0,7.0,3.0,1.0,1.0
580,-12.3,52.0,1.3,1914,0.0,1.0,11.0,8.0,3.0,1.0,1.0
275,-11.8,46.0,2.9,1956,0.1,0.0,11.0,9.0,3.0,1.0,1.0
184,-10.5,45.0,3.3,1855,0.6,0.0,11.0,10.0,3.0,1.0,1.0
201,-9.4,42.0,3.1,1815,0.93,0.0,11.0,11.0,3.0,1.0,1.0
228,-8.3,35.0,2.9,1967,1.14,0.0,11.0,12.0,3.0,1.0,1.0
225,-6.9,37.0,2.4,1955,1.22,0.0,11.0,13.0,3.0,1.0,1.0
258,-5.4,32.0,2.0,1930,1.12,0.0,11.0,14.0,3.0,1.0,1.0
250,-5.8,30.0,2.8,2000,0.92,0.0,11.0,15.0,3.0,1.0,1.0
248,-6.0,29.0,2.8,1983,0.58,0.0,11.0,16.0,3.0,1.0,1.0
305,-7.0,32.0,2.6,2000,0.19,0.0,11.0,17.0,3.0,1.0,1.0
529,-7.7,36.0,1.0,2000,0.0,1.0,11.0,18.0,3.0,1.0,1.0
350,-8.2,43.0,1.1,2000,0.0,0.0,11.0,19.0,3.0,1.0,1.0
260,-8.4,42.0,1.0,2000,0.0,0.0,11.0,20.0,3.0,1.0,1.0
270,-8.8,43.0,1.4,1999,0.0,0.0,11.0,21.0,3.0,1.0,1.0
256,-9.0,45.0,1.3,1999,0.0,0.0,11.0,22.0,3.0,1.0,1.0
173,-9.3,47.0,2.1,2000,0.0,0.0,11.0,23.0,3.0,1.0,1.0
168,-9.5,48.0,1.3,1996,0.0,0.0,12.0,0.0,3.0,1.0,1.0
183,-10.2,52.0,1.6,1997,0.0,0.0,12.0,1.0,3.0,1.0,1.0
120,-10.4,53.0,1.8,1949,0.0,0.0,12.0,2.0,3.0,1.0,1.0
79,-10.9,55.0,1.8,1913,0.0,0.0,12.0,3.0,3.0,1.0,1.0
41,-11.4,58.0,1.3,1907,0.0,0.0,12.0,4.0,3.0,1.0,1.0
68,-11.5,58.0,1.1,1923,0.0,0.0,12.0,5.0,3.0,1.0,1.0
109,-11.9,57.0,1.1,1974,0.0,0.0,12.0,6.0,3.0,1.0,1.0
310,-11.7,53.0,1.6,1998,0.0,0.0,12.0,7.0,3.0,1.0,1.0
591,-11.4,47.0,3.3,2000,0.0,1.0,12.0,8.0,3.0,1.0,1.0
340,-11.1,46.0,3.4,1981,0.1,0.0,12.0,9.0,3.0,1.0,1.0
202,-9.5,39.0,2.1,1875,0.6,0.0,12.0,10.0,3.0,1.0,1.0
251,-8.1,35.0,1.8,1806,0.96,0.0,12.0,11.0,3.0,1.0,1.0
267,-6.5,30.0,2.9,1945,1.17,0.0,12.0,12.0,3.0,1.0,1.0
251,-5.8,28.0,2.9,1887,1.23,0.0,12.0,13.0,3.0,1.0,1.0
240,-4.7,27.0,2.9,1883,1.12,0.0,12.0,14.0,3.0,1.0,1.0
240,-4.9,26.0,3.1,1887,0.89,0.0,12.0,15.0,3.0,1.0,1.0
278,-4.5,26.0,2.2,2000,0.56,0.0,12.0,16.0,3.0,1.0,1.0
392,-5.6,29.0,1.7,2000,0.18,0.0,12.0,17.0,3.0,1.0,1.0
